_id,type,model
ObjectId(672afebebc20a3e3213579d8),laptop,ay9
ObjectId(672afebebc20a3e3213579d9),laptop,ay9
ObjectId(672afebebc20a3e3213579da),laptop,qw2
ObjectId(672afebebc20a3e3213579db),laptop,kz
ObjectId(672afebebc20a3e3213579dc),laptop,jl3
ObjectId(672afebebc20a3e3213579dd),laptop,j3
ObjectId(672afebebc20a3e3213579de),laptop,ay9
ObjectId(672afebebc20a3e3213579df),laptop,kz
ObjectId(672afebebc20a3e3213579e0),laptop,c6
ObjectId(672afebebc20a3e3213579e1),laptop,j3
ObjectId(672afebebc20a3e3213579e2),laptop,ki2
ObjectId(672afebebc20a3e3213579e3),laptop,k12
ObjectId(672afebebc20a3e3213579e4),laptop,zeta
ObjectId(672afebebc20a3e3213579e5),laptop,kz
ObjectId(672afebebc20a3e3213579e6),laptop,k12
ObjectId(672afebebc20a3e3213579e7),laptop,ki2
ObjectId(672afebebc20a3e3213579e8),laptop,qw2
ObjectId(672afebebc20a3e3213579e9),laptop,ay9
ObjectId(672afebebc20a3e3213579ea),laptop,ki2
ObjectId(672afebebc20a3e3213579eb),laptop,qw2
ObjectId(672afebebc20a3e3213579ec),laptop,kz
ObjectId(672afebebc20a3e3213579ed),laptop,zeta
ObjectId(672afebebc20a3e3213579ee),laptop,zeta
ObjectId(672afebebc20a3e3213579ef),laptop,qw2
ObjectId(672afebebc20a3e3213579f0),laptop,k12
ObjectId(672afebebc20a3e3213579f1),laptop,kz
ObjectId(672afebebc20a3e3213579f2),laptop,qw2
ObjectId(672afebebc20a3e3213579f3),laptop,k12
ObjectId(672afebebc20a3e3213579f4),laptop,ay9
ObjectId(672afebebc20a3e3213579f5),laptop,k12
ObjectId(672afebebc20a3e3213579f6),laptop,k12
ObjectId(672afebebc20a3e3213579f7),laptop,k12
ObjectId(672afebebc20a3e3213579f8),laptop,kz
ObjectId(672afebebc20a3e3213579f9),laptop,kz
ObjectId(672afebebc20a3e3213579fa),laptop,k12
ObjectId(672afebebc20a3e3213579fb),laptop,jl3
ObjectId(672afebebc20a3e3213579fc),laptop,ay9
ObjectId(672afebebc20a3e3213579fd),laptop,ay9
ObjectId(672afebebc20a3e3213579fe),laptop,c6
ObjectId(672afebebc20a3e3213579ff),laptop,j3
ObjectId(672afebebc20a3e321357a00),laptop,j3
ObjectId(672afebebc20a3e321357a01),laptop,k12
ObjectId(672afebebc20a3e321357a02),laptop,kz
ObjectId(672afebebc20a3e321357a03),laptop,ay9
ObjectId(672afebebc20a3e321357a04),laptop,j3
ObjectId(672afebebc20a3e321357a05),laptop,kz
ObjectId(672afebebc20a3e321357a06),laptop,ay9
ObjectId(672afebebc20a3e321357a07),laptop,c6
ObjectId(672afebebc20a3e321357a08),laptop,ki2
ObjectId(672afebebc20a3e321357a09),laptop,c6
ObjectId(672afebebc20a3e321357a0a),laptop,c6
ObjectId(672afebebc20a3e321357a0b),laptop,k12
ObjectId(672afebebc20a3e321357a0c),laptop,kz
ObjectId(672afebebc20a3e321357a0d),laptop,kz
ObjectId(672afebebc20a3e321357a0e),laptop,ay9
ObjectId(672afebebc20a3e321357a0f),laptop,ay9
ObjectId(672afebebc20a3e321357a10),laptop,qw2
ObjectId(672afebebc20a3e321357a11),laptop,j3
ObjectId(672afebebc20a3e321357a12),laptop,ki2
ObjectId(672afebebc20a3e321357a13),laptop,kz
ObjectId(672afebebc20a3e321357a14),laptop,c6
ObjectId(672afebebc20a3e321357a15),laptop,c6
ObjectId(672afebebc20a3e321357a16),laptop,zeta
ObjectId(672afebebc20a3e321357a17),laptop,k12
ObjectId(672afebebc20a3e321357a18),laptop,c6
ObjectId(672afebebc20a3e321357a19),laptop,ki2
ObjectId(672afebebc20a3e321357a1a),laptop,qw2
ObjectId(672afebebc20a3e321357a1b),laptop,k12
ObjectId(672afebebc20a3e321357a1c),laptop,j3
ObjectId(672afebebc20a3e321357a1d),laptop,ki2
ObjectId(672afebebc20a3e321357a1e),laptop,kz
ObjectId(672afebebc20a3e321357a1f),laptop,ki2
ObjectId(672afebebc20a3e321357a20),laptop,k12
ObjectId(672afebebc20a3e321357a21),laptop,ki2
ObjectId(672afebebc20a3e321357a22),laptop,ki2
ObjectId(672afebebc20a3e321357a23),laptop,kz
ObjectId(672afebebc20a3e321357a24),laptop,kz
ObjectId(672afebebc20a3e321357a25),laptop,jl3
ObjectId(672afebebc20a3e321357a26),laptop,zeta
ObjectId(672afebebc20a3e321357a27),laptop,ki2
ObjectId(672afebebc20a3e321357a28),laptop,k12
ObjectId(672afebebc20a3e321357a29),laptop,k12
ObjectId(672afebebc20a3e321357a2a),laptop,k12
ObjectId(672afebebc20a3e321357a2b),laptop,ay9
ObjectId(672afebebc20a3e321357a2c),laptop,kz
ObjectId(672afebebc20a3e321357a2d),laptop,qw2
ObjectId(672afebebc20a3e321357a2e),laptop,j3
ObjectId(672afebebc20a3e321357a2f),laptop,c6
ObjectId(672afebebc20a3e321357a30),laptop,zeta
ObjectId(672afebebc20a3e321357a31),laptop,zeta
ObjectId(672afebebc20a3e321357a32),laptop,ay9
ObjectId(672afebebc20a3e321357a33),laptop,ki2
ObjectId(672afebebc20a3e321357a34),laptop,c6
ObjectId(672afebebc20a3e321357a35),laptop,ay9
ObjectId(672afebebc20a3e321357a36),laptop,ay9
ObjectId(672afebebc20a3e321357a37),laptop,qw2
ObjectId(672afebebc20a3e321357a38),laptop,zeta
ObjectId(672afebebc20a3e321357a39),laptop,ki2
ObjectId(672afebebc20a3e321357a3a),laptop,ki2
ObjectId(672afebebc20a3e321357a3b),laptop,qw2
ObjectId(672afebebc20a3e321357a3c),laptop,k12
ObjectId(672afebebc20a3e321357a3d),laptop,jl3
ObjectId(672afebebc20a3e321357a3e),laptop,jl3
ObjectId(672afebebc20a3e321357a3f),laptop,jl3
ObjectId(672afebebc20a3e321357a40),laptop,ki2
ObjectId(672afebebc20a3e321357a41),laptop,ay9
ObjectId(672afebebc20a3e321357a42),laptop,jl3
ObjectId(672afebebc20a3e321357a43),laptop,zeta
ObjectId(672afebebc20a3e321357a44),laptop,ay9
ObjectId(672afebebc20a3e321357a45),laptop,k12
ObjectId(672afebebc20a3e321357a46),laptop,zeta
ObjectId(672afebebc20a3e321357a47),laptop,zeta
ObjectId(672afebebc20a3e321357a48),laptop,jl3
ObjectId(672afebebc20a3e321357a49),laptop,ki2
ObjectId(672afebebc20a3e321357a4a),laptop,j3
ObjectId(672afebebc20a3e321357a4b),laptop,qw2
ObjectId(672afebebc20a3e321357a4c),laptop,jl3
ObjectId(672afebebc20a3e321357a4d),laptop,ay9
ObjectId(672afebebc20a3e321357a4e),laptop,zeta
ObjectId(672afebebc20a3e321357a4f),laptop,ay9
ObjectId(672afebebc20a3e321357a50),laptop,kz
ObjectId(672afebebc20a3e321357a51),laptop,jl3
ObjectId(672afebebc20a3e321357a52),laptop,ay9
ObjectId(672afebebc20a3e321357a53),laptop,c6
ObjectId(672afebebc20a3e321357a54),laptop,ay9
ObjectId(672afebebc20a3e321357a55),laptop,ki2
ObjectId(672afebebc20a3e321357a56),laptop,kz
ObjectId(672afebebc20a3e321357a57),laptop,c6
ObjectId(672afebebc20a3e321357a58),laptop,c6
ObjectId(672afebebc20a3e321357a59),laptop,kz
ObjectId(672afebebc20a3e321357a5a),laptop,jl3
ObjectId(672afebebc20a3e321357a5b),laptop,kz
ObjectId(672afebebc20a3e321357a5c),laptop,qw2
ObjectId(672afebebc20a3e321357a5d),laptop,ay9
ObjectId(672afebebc20a3e321357a5e),laptop,j3
ObjectId(672afebebc20a3e321357a5f),laptop,ki2
ObjectId(672afebebc20a3e321357a60),laptop,jl3
ObjectId(672afebebc20a3e321357a61),laptop,k12
ObjectId(672afebebc20a3e321357a62),laptop,c6
ObjectId(672afebebc20a3e321357a63),laptop,ki2
ObjectId(672afebebc20a3e321357a64),laptop,kz
ObjectId(672afebebc20a3e321357a65),laptop,c6
ObjectId(672afebebc20a3e321357a66),laptop,c6
ObjectId(672afebebc20a3e321357a67),laptop,qw2
ObjectId(672afebebc20a3e321357a68),laptop,ki2
ObjectId(672afebebc20a3e321357a69),laptop,ay9
ObjectId(672afebebc20a3e321357a6a),laptop,j3
ObjectId(672afebebc20a3e321357a6b),laptop,jl3
ObjectId(672afebebc20a3e321357a6c),laptop,c6
ObjectId(672afebebc20a3e321357a6d),laptop,j3
ObjectId(672afebebc20a3e321357a6e),laptop,kz
ObjectId(672afebebc20a3e321357a6f),laptop,qw2
ObjectId(672afebebc20a3e321357a70),laptop,ki2
ObjectId(672afebebc20a3e321357a71),laptop,k12
ObjectId(672afebebc20a3e321357a72),laptop,k12
ObjectId(672afebebc20a3e321357a73),laptop,ki2
ObjectId(672afebebc20a3e321357a74),laptop,zeta
ObjectId(672afebebc20a3e321357a75),laptop,j3
ObjectId(672afebebc20a3e321357a76),laptop,zeta
ObjectId(672afebebc20a3e321357a77),laptop,jl3
ObjectId(672afebebc20a3e321357a78),laptop,jl3
ObjectId(672afebebc20a3e321357a79),laptop,ki2
ObjectId(672afebebc20a3e321357a7a),laptop,kz
ObjectId(672afebebc20a3e321357a7b),laptop,c6
ObjectId(672afebebc20a3e321357a7c),laptop,zeta
ObjectId(672afebebc20a3e321357a7d),laptop,c6
ObjectId(672afebebc20a3e321357a7e),laptop,jl3
ObjectId(672afebebc20a3e321357a7f),laptop,k12
ObjectId(672afebebc20a3e321357a80),laptop,jl3
ObjectId(672afebebc20a3e321357a81),laptop,c6
ObjectId(672afebebc20a3e321357a82),laptop,ay9
ObjectId(672afebebc20a3e321357a83),laptop,j3
ObjectId(672afebebc20a3e321357a84),laptop,ay9
ObjectId(672afebebc20a3e321357a85),laptop,kz
ObjectId(672afebebc20a3e321357a86),laptop,j3
ObjectId(672afebebc20a3e321357a87),laptop,qw2
ObjectId(672afebebc20a3e321357a88),laptop,kz
ObjectId(672afebebc20a3e321357a89),laptop,ay9
ObjectId(672afebebc20a3e321357a8a),laptop,jl3
ObjectId(672afebebc20a3e321357a8b),laptop,zeta
ObjectId(672afebebc20a3e321357a8c),laptop,kz
ObjectId(672afebebc20a3e321357a8d),laptop,c6
ObjectId(672afebebc20a3e321357a8e),laptop,c6
ObjectId(672afebebc20a3e321357a8f),laptop,jl3
ObjectId(672afebebc20a3e321357a90),laptop,j3
ObjectId(672afebebc20a3e321357a91),laptop,j3
ObjectId(672afebebc20a3e321357a92),laptop,ay9
ObjectId(672afebebc20a3e321357a93),laptop,zeta
ObjectId(672afebebc20a3e321357a94),laptop,qw2
ObjectId(672afebebc20a3e321357a95),laptop,ki2
ObjectId(672afebebc20a3e321357a96),laptop,kz
ObjectId(672afebebc20a3e321357a97),laptop,ki2
ObjectId(672afebebc20a3e321357a98),laptop,c6
ObjectId(672afebebc20a3e321357a99),laptop,zeta
ObjectId(672afebebc20a3e321357a9a),laptop,ay9
ObjectId(672afebebc20a3e321357a9b),laptop,j3
ObjectId(672afebebc20a3e321357a9c),laptop,kz
ObjectId(672afebebc20a3e321357a9d),laptop,j3
ObjectId(672afebebc20a3e321357a9e),laptop,ki2
ObjectId(672afebebc20a3e321357a9f),laptop,c6
ObjectId(672afebebc20a3e321357aa0),laptop,c6
ObjectId(672afebebc20a3e321357aa1),laptop,kz
ObjectId(672afebebc20a3e321357aa2),laptop,kz
ObjectId(672afebebc20a3e321357aa3),laptop,jl3
ObjectId(672afebebc20a3e321357aa4),laptop,k12
ObjectId(672afebebc20a3e321357aa5),laptop,k12
ObjectId(672afebebc20a3e321357aa6),laptop,ki2
ObjectId(672afebebc20a3e321357aa7),laptop,zeta
ObjectId(672afebebc20a3e321357aa8),laptop,k12
ObjectId(672afebebc20a3e321357aa9),laptop,ki2
ObjectId(672afebebc20a3e321357aaa),laptop,kz
ObjectId(672afebebc20a3e321357aab),laptop,ay9
ObjectId(672afebebc20a3e321357aac),laptop,qw2
ObjectId(672afebebc20a3e321357aad),laptop,qw2
ObjectId(672afebebc20a3e321357aae),laptop,kz
ObjectId(672afebebc20a3e321357aaf),laptop,qw2
ObjectId(672afebebc20a3e321357ab0),laptop,qw2
ObjectId(672afebebc20a3e321357ab1),laptop,zeta
ObjectId(672afebebc20a3e321357ab2),laptop,jl3
ObjectId(672afebebc20a3e321357ab3),laptop,ki2
ObjectId(672afebebc20a3e321357ab4),laptop,k12
ObjectId(672afebebc20a3e321357ab5),laptop,c6
ObjectId(672afebebc20a3e321357ab6),laptop,j3
ObjectId(672afebebc20a3e321357ab7),laptop,j3
ObjectId(672afebebc20a3e321357ab8),laptop,j3
ObjectId(672afebebc20a3e321357ab9),laptop,jl3
ObjectId(672afebebc20a3e321357aba),laptop,j3
ObjectId(672afebebc20a3e321357abb),laptop,ay9
ObjectId(672afebebc20a3e321357abc),laptop,zeta
ObjectId(672afebebc20a3e321357abd),laptop,k12
ObjectId(672afebebc20a3e321357abe),laptop,zeta
ObjectId(672afebebc20a3e321357abf),laptop,qw2
ObjectId(672afebebc20a3e321357ac0),laptop,c6
ObjectId(672afebebc20a3e321357ac1),laptop,j3
ObjectId(672afebebc20a3e321357ac2),laptop,c6
ObjectId(672afebebc20a3e321357ac3),laptop,qw2
ObjectId(672afebebc20a3e321357ac4),laptop,c6
ObjectId(672afebebc20a3e321357ac5),laptop,zeta
ObjectId(672afebebc20a3e321357ac6),laptop,zeta
ObjectId(672afebebc20a3e321357ac7),laptop,ki2
ObjectId(672afebebc20a3e321357ac8),laptop,ay9
ObjectId(672afebebc20a3e321357ac9),laptop,k12
ObjectId(672afebebc20a3e321357aca),laptop,ki2
ObjectId(672afebebc20a3e321357acb),laptop,jl3
ObjectId(672afebebc20a3e321357acc),laptop,qw2
ObjectId(672afebebc20a3e321357acd),laptop,c6
ObjectId(672afebebc20a3e321357ace),laptop,ay9
ObjectId(672afebebc20a3e321357acf),laptop,j3
ObjectId(672afebebc20a3e321357ad0),laptop,jl3
ObjectId(672afebebc20a3e321357ad1),laptop,c6
ObjectId(672afebebc20a3e321357ad2),laptop,c6
ObjectId(672afebebc20a3e321357ad3),laptop,ay9
ObjectId(672afebebc20a3e321357ad4),laptop,kz
ObjectId(672afebebc20a3e321357ad5),laptop,k12
ObjectId(672afebebc20a3e321357ad6),laptop,qw2
ObjectId(672afebebc20a3e321357ad7),laptop,ki2
ObjectId(672afebebc20a3e321357ad8),laptop,ki2
ObjectId(672afebebc20a3e321357ad9),laptop,jl3
ObjectId(672afebebc20a3e321357ada),laptop,ki2
ObjectId(672afebebc20a3e321357adb),laptop,k12
ObjectId(672afebebc20a3e321357adc),laptop,jl3
ObjectId(672afebebc20a3e321357add),laptop,c6
ObjectId(672afebebc20a3e321357ade),laptop,j3
ObjectId(672afebebc20a3e321357adf),laptop,k12
ObjectId(672afebebc20a3e321357ae0),laptop,c6
ObjectId(672afebebc20a3e321357ae1),laptop,qw2
ObjectId(672afebebc20a3e321357ae2),laptop,kz
ObjectId(672afebebc20a3e321357ae3),laptop,qw2
ObjectId(672afebebc20a3e321357ae4),laptop,jl3
ObjectId(672afebebc20a3e321357ae5),laptop,j3
ObjectId(672afebebc20a3e321357ae6),laptop,j3
ObjectId(672afebebc20a3e321357ae7),laptop,qw2
ObjectId(672afebebc20a3e321357ae8),laptop,zeta
ObjectId(672afebebc20a3e321357ae9),laptop,jl3
ObjectId(672afebebc20a3e321357aea),laptop,jl3
ObjectId(672afebebc20a3e321357aeb),laptop,ay9
ObjectId(672afebebc20a3e321357aec),laptop,zeta
ObjectId(672afebebc20a3e321357aed),laptop,zeta
ObjectId(672afebebc20a3e321357aee),laptop,k12
ObjectId(672afebebc20a3e321357aef),laptop,c6
ObjectId(672afebebc20a3e321357af0),laptop,jl3
ObjectId(672afebebc20a3e321357af1),laptop,qw2
ObjectId(672afebebc20a3e321357af2),laptop,jl3
ObjectId(672afebebc20a3e321357af3),laptop,qw2
ObjectId(672afebebc20a3e321357af4),laptop,kz
ObjectId(672afebebc20a3e321357af5),laptop,j3
ObjectId(672afebebc20a3e321357af6),laptop,j3
ObjectId(672afebebc20a3e321357af7),laptop,j3
ObjectId(672afebebc20a3e321357af8),laptop,j3
ObjectId(672afebebc20a3e321357af9),laptop,jl3
ObjectId(672afebebc20a3e321357afa),laptop,zeta
ObjectId(672afebebc20a3e321357afb),laptop,zeta
ObjectId(672afebebc20a3e321357afc),laptop,zeta
ObjectId(672afebebc20a3e321357afd),laptop,c6
ObjectId(672afebebc20a3e321357afe),laptop,jl3
ObjectId(672afebebc20a3e321357aff),laptop,ki2
ObjectId(672afebebc20a3e321357b00),laptop,zeta
ObjectId(672afebebc20a3e321357b01),laptop,ay9
ObjectId(672afebebc20a3e321357b02),laptop,ki2
ObjectId(672afebebc20a3e321357b03),laptop,k12
ObjectId(672afebebc20a3e321357b04),laptop,ki2
ObjectId(672afebebc20a3e321357b05),laptop,k12
ObjectId(672afebebc20a3e321357b06),laptop,ay9
ObjectId(672afebebc20a3e321357b07),laptop,qw2
ObjectId(672afebebc20a3e321357b08),laptop,jl3
ObjectId(672afebebc20a3e321357b09),laptop,kz
ObjectId(672afebebc20a3e321357b0a),laptop,k12
ObjectId(672afebebc20a3e321357b0b),laptop,j3
ObjectId(672afebebc20a3e321357b0c),laptop,zeta
ObjectId(672afebebc20a3e321357b0d),laptop,c6
ObjectId(672afebebc20a3e321357b0e),laptop,kz
ObjectId(672afebebc20a3e321357b0f),laptop,jl3
ObjectId(672afebebc20a3e321357b10),laptop,ki2
ObjectId(672afebebc20a3e321357b11),laptop,j3
ObjectId(672afebebc20a3e321357b12),laptop,jl3
ObjectId(672afebebc20a3e321357b13),laptop,j3
ObjectId(672afebebc20a3e321357b14),laptop,zeta
ObjectId(672afebebc20a3e321357b15),laptop,kz
ObjectId(672afebebc20a3e321357b16),laptop,qw2
ObjectId(672afebebc20a3e321357b17),laptop,qw2
ObjectId(672afebebc20a3e321357b18),laptop,zeta
ObjectId(672afebebc20a3e321357b19),laptop,ay9
ObjectId(672afebebc20a3e321357b1a),laptop,j3
ObjectId(672afebebc20a3e321357b1b),laptop,j3
ObjectId(672afebebc20a3e321357b1c),laptop,zeta
ObjectId(672afebebc20a3e321357b1d),laptop,c6
ObjectId(672afebebc20a3e321357b1e),laptop,j3
ObjectId(672afebebc20a3e321357b1f),television,jk23
ObjectId(672afebebc20a3e321357b20),television,ss2
ObjectId(672afebebc20a3e321357b21),laptop,qw2
ObjectId(672afebebc20a3e321357b22),television,ss2
ObjectId(672afebebc20a3e321357b23),television,jk23
ObjectId(672afebebc20a3e321357b24),television,jk23
ObjectId(672afebebc20a3e321357b25),television,k20
ObjectId(672afebebc20a3e321357b26),television,jk23
ObjectId(672afebebc20a3e321357b27),television,boom
ObjectId(672afebebc20a3e321357b28),television,ss2
ObjectId(672afebebc20a3e321357b29),laptop,ay9
ObjectId(672afebebc20a3e321357b2a),television,dj1
ObjectId(672afebebc20a3e321357b2b),television,k20
ObjectId(672afebebc20a3e321357b2c),television,k20
ObjectId(672afebebc20a3e321357b2d),television,jk23
ObjectId(672afebebc20a3e321357b2e),television,boom
ObjectId(672afebebc20a3e321357b2f),television,boom
ObjectId(672afebebc20a3e321357b30),television,k20
ObjectId(672afebebc20a3e321357b31),television,dj1
ObjectId(672afebebc20a3e321357b32),television,boom
ObjectId(672afebebc20a3e321357b33),television,ss2
ObjectId(672afebebc20a3e321357b34),television,ss2
ObjectId(672afebebc20a3e321357b35),television,dj1
ObjectId(672afebebc20a3e321357b36),television,dj1
ObjectId(672afebebc20a3e321357b37),television,dj1
ObjectId(672afebebc20a3e321357b38),television,boom
ObjectId(672afebebc20a3e321357b39),television,k20
ObjectId(672b026c83b336e9cfd2113b),smart phone,bn20
ObjectId(672b026c83b336e9cfd2113c),smart phone,k9
ObjectId(672b026c83b336e9cfd2113d),smart phone,c12
ObjectId(672b026c83b336e9cfd2113e),smart phone,c3
ObjectId(672b026c83b336e9cfd2113f),smart phone,platina
ObjectId(672b026c83b336e9cfd21140),smart phone,k9
ObjectId(672b026c83b336e9cfd21141),smart phone,xm23
ObjectId(672b026c83b336e9cfd21142),smart phone,bn20
ObjectId(672b026c83b336e9cfd21143),smart phone,pk2
ObjectId(672b026c83b336e9cfd21144),smart phone,c3
ObjectId(672b026c83b336e9cfd21145),smart phone,bn20
ObjectId(672b026c83b336e9cfd21146),smart phone,xm23
ObjectId(672b026c83b336e9cfd21147),smart phone,c12
ObjectId(672b026c83b336e9cfd21148),smart phone,k9
ObjectId(672b026c83b336e9cfd21149),smart phone,c12
ObjectId(672b026c83b336e9cfd2114a),smart phone,c3
ObjectId(672b026c83b336e9cfd2114b),smart phone,cz
ObjectId(672b026c83b336e9cfd2114c),smart phone,cz
ObjectId(672b026c83b336e9cfd2114d),smart phone,pk2
ObjectId(672b026c83b336e9cfd2114e),smart phone,cz
ObjectId(672b026c83b336e9cfd2114f),laptop,qw2
ObjectId(672b026c83b336e9cfd21150),smart phone,xm23
ObjectId(672b026c83b336e9cfd21151),smart phone,platina
ObjectId(672b026c83b336e9cfd21152),laptop,c6
ObjectId(672b026c83b336e9cfd21153),laptop,qw2
ObjectId(672b026c83b336e9cfd21154),laptop,ay9
ObjectId(672b026c83b336e9cfd21155),laptop,k12
ObjectId(672b026c83b336e9cfd21156),laptop,jl3
ObjectId(672b026c83b336e9cfd21157),laptop,zeta
ObjectId(672b026c83b336e9cfd21158),laptop,ki2
ObjectId(672b026c83b336e9cfd21159),laptop,zeta
ObjectId(672b026c83b336e9cfd2115a),laptop,jl3
ObjectId(672b026c83b336e9cfd2115b),laptop,zeta
ObjectId(672b026c83b336e9cfd2115c),smart phone,pk2
ObjectId(672b026c83b336e9cfd2115d),laptop,ay9
ObjectId(672b026c83b336e9cfd2115e),laptop,qw2
ObjectId(672b026c83b336e9cfd2115f),laptop,ki2
ObjectId(672b026c83b336e9cfd21160),laptop,kz
ObjectId(672b026c83b336e9cfd21161),laptop,ki2
ObjectId(672b026c83b336e9cfd21162),laptop,ki2
ObjectId(672b026c83b336e9cfd21163),laptop,ki2
ObjectId(672b026c83b336e9cfd21164),laptop,qw2
ObjectId(672b026c83b336e9cfd21165),laptop,kz
ObjectId(672b026c83b336e9cfd21166),laptop,ay9
ObjectId(672b026c83b336e9cfd21167),laptop,k12
ObjectId(672b026c83b336e9cfd21168),laptop,j3
ObjectId(672b026c83b336e9cfd21169),smart phone,platina
ObjectId(672b026c83b336e9cfd2116a),laptop,j3
ObjectId(672b026c83b336e9cfd2116b),laptop,c6
ObjectId(672b026c83b336e9cfd2116c),laptop,ay9
ObjectId(672b026c83b336e9cfd2116d),laptop,k12
ObjectId(672b026c83b336e9cfd2116e),laptop,qw2
ObjectId(672b026c83b336e9cfd2116f),laptop,k12
ObjectId(672b026c83b336e9cfd21170),laptop,jl3
ObjectId(672b026c83b336e9cfd21171),laptop,c6
ObjectId(672b026c83b336e9cfd21172),laptop,k12
ObjectId(672b026c83b336e9cfd21173),laptop,qw2
ObjectId(672b026c83b336e9cfd21174),laptop,zeta
ObjectId(672b026c83b336e9cfd21175),laptop,k12
